,product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count
990,B09CMP1SC8,"Ambrane 2 in 1 Type-C & Micro USB Cable with 60W / 3A Fast Charging, 480 mbps High Data, PD Technology & Quick Charge 3.0, Compatible with All Type-C & Micro USB Devices (ABDC-10, Black)",Computers&accessories,199.0,499.0,60.0,4.1,602
991,B099SD8PRP,"Lenovo 130 Wireless Compact Mouse, 1K DPI Optical sensor, 2.4GHz Wireless NanoUSB, 10m range, 3button(left,right,scroll) upto 3M left/right clicks, 10 month battery, Ambidextrous, Ergonomic GY51C12380",Computers&accessories,579.0,1090.0,47.0,4.4,3482
992,B09YLXYP7Y,"Ambrane 60W / 3A Fast Charging Output Cable with Type-C to USB for Mobile, Neckband, True Wireless Earphone Charging, 480mbps Data Sync Speed, 1m Length (ACT - AZ10, Black)",Computers&accessories,179.0,399.0,55.0,4.0,1423
993,B00S2SEV7K,"Pilot Frixion Clicker Roller Pen (Blue), (9000019529)",Officeproducts,90.0,100.0,10.0,4.1,6199
994,B08WKCTFF3,"ZEBRONICS Aluminium Alloy Laptop Stand, Compatible with 9-15.6 inch Laptops, 7 Angles Adjustable, Anti Slip Silicon Rubber Pads, Foldable, Velvet Pouch Inside, Zeb-NS2000 (Dark Grey)",Computers&accessories,899.0,1999.0,55.0,4.4,1667
995,B08498D67S,"HP K500F Backlit Membrane Wired Gaming Keyboard with Mixed Color Lighting, Metal Panel with Logo Lighting, 26 Anti-Ghosting Keys, and Windows Lock Key / 3 Years Warranty(7ZZ97AA)",Computers&accessories,1149.0,1800.0,36.0,4.3,4723
996,B00C3GBCIS,GIZGA Club-laptop Neoprene Reversible for 15.6-inches Laptop Sleeve - Black-Red,Computers&accessories,249.0,499.0,50.0,4.2,22860
997,B00URH5E34,Inventis 5V 1.2W Portable Flexible USB LED Light Lamp (Colors may vary),Computers&accessories,39.0,39.0,0.0,3.6,13572
998,B00EYW1U68,TP-Link TL-WA855RE 300 Mbps Wi-Fi Range Extender (White),Computers&accessories,1599.0,3599.0,56.0,4.2,16182
999,B08SMJT55F,"boAt Stone 250 Portable Wireless Speaker with 5W RMS Immersive Audio, RGB LEDs, Up to 8HRS Playtime, IPX7 Water Resistance, Multi-Compatibility Modes(Black)",Electronics,1199.0,3990.0,70.0,4.2,2908
1000,B0B2DJDCPX,"SWAPKART Fast Charging Cable and Data Sync USB Cable Compatible for iPhone 6/6S/7/7+/8/8+/10/11, 12, 13 Pro max iPad Air/Mini, iPod and iOS Devices (White)",Computers&accessories,209.0,499.0,58.0,3.9,536
1001,B08Y7MXFMK,"Offbeat® - DASH 2.4GHz Wireless + Bluetooth 5.1 Mouse, Multi-Device Dual Mode Slim Rechargeable Silent Click Buttons Wireless Bluetooth Mouse, 3 Adjustable DPI, Works on 2 devices at the same time with a switch button for Windows/Mac/Android/Ipad/Smart TV",Computers&accessories,1099.0,1499.0,27.0,4.2,2375
1002,B086Q3QMFS,"Classmate Drawing Book - Unruled, 40 Pages, 210 mm x 297 mm - Pack Of 4",Officeproducts,120.0,120.0,0.0,4.5,4951
1003,B08498H13H,"HP GK320 Wired Full Size RGB Backlight Mechanical Gaming Keyboard, 4 LED Indicators, Mechanical Switches, Double Injection Key Caps, and Windows Lock Key(4QN01AA)",Computers&accessories,1519.0,3499.0,57.0,4.3,408
1004,B07LFQLKFZ,Parker Moments Vector Timecheck Gold Trim Roller Ball Pen (Black),Officeproducts,420.0,420.0,0.0,4.2,1926
1005,B00LY17RHI,Camlin Elegante Fountain Pen - Black/Blue/Red,Officeproducts,225.0,225.0,0.0,4.1,4798
1006,B07W14CHV8,"CARECASE® Optical Bay 2nd Hard Drive Caddy, 9.5 mm CD/DVD Drive Slot for SSD and HDD",Computers&accessories,199.0,799.0,75.0,4.1,7333
1007,B0B9BXKBC7,"WeCool S5 Long Selfie Stick, with Large Reinforced Tripod Stand up to 61 Inch / 156 Cms, Ultra Long Multi Function Bluetooth Selfie Stick with 1/4 Screw Compatible with Gopro, Camera, and Ring Light",Electronics,1799.0,3999.0,55.0,4.6,245
